Model,MAE,RMSE,MAPE (%),R²
Persistence (lag 24h),3.7932847901464153,8.74074321653287,2168.945570818272,-0.0381552686268065
Station Hourly Mean,3.2470804078257913,6.578715111457768,2005.585171540163,0.4119046460519613
Ridge Regression,3.14312527887889,6.284334585350167,2032.0429791780332,0.4633585833999429
LightGBM (default),2.7586321137937744,5.986001773971325,1403.8032185828608,0.5131005644142371
XGBoost (default),2.7597623882123017,5.990005020463798,1405.0642184334945,0.5124491011152207
LightGBM (tuned),2.7788904359613675,6.004041727947523,1435.0607270804228,0.5101614142667645
XGBoost (tuned),2.757843000445758,5.981754404182523,1400.0293399778084,0.5137912786308323
